latitude,longitude,CLUSTER
-3.80620125003,-38.6074159,-1
-3.75625630003,-38.58222,0
-3.77901624131,-38.5038625944,1
-3.75325854358,-38.5489434588,2
-3.75482415003,-38.5658739,3
-3.77901624131,-38.5038625944,1
-3.77901624131,-38.5038625944,1
-3.82803335003,-38.5613069,4
-3.75619445003,-38.5653383,3
-3.77901624131,-38.5038625944,1
-3.75534130003,-38.5775116,0
-3.78518835003,-38.496181,1
-3.87691810003,-38.6237379,-1
-3.79685240003,-38.6061408,-1
-3.76006430003,-38.5422955,5
-3.78006833336,-38.5411916667,15
-3.72615345003,-38.5838763,-1
-3.85204620003,-38.5739626,-1
-3.8172936685,-38.5895966202,6
-3.83671510003,-38.55642,4
-3.71841210003,-38.5714709,-1
-3.75325842667,-38.5489427412,2
-3.75484710003,-38.5658959,3
-3.76175641866,-38.5416275418,5
-3.77703440165,-38.5903668177,-1
-3.78549666669,-38.498995,1
-3.85688018719,-38.5859154892,-1
-3.85204620003,-38.5739626,-1
-3.7344403676,-38.496844662,7
-3.71551982928,-38.5936254568,8
-3.83837935003,-38.5596929,4
-3.75323910003,-38.5200839,-1
-3.75620630003,-38.5652433,3
-3.87394705003,-38.6181007,-1
-3.82757480449,-38.5908130902,-1
-3.79359340003,-38.5977178,-1
-3.74782725003,-38.5549723,-1
-3.77376135003,-38.578611,0
-3.77390315003,-38.5593619,10
-3.83836325003,-38.5597393,4
-3.78544833336,-38.498915,1
-3.77253130003,-38.5727166,0
-3.78792245003,-38.5059016,1
-3.8384116117,-38.5924657134,-1
-3.73357620003,-38.4962117,7
-3.78999615003,-38.4735222,9
-3.81230100003,-38.571393,18
-3.76006430003,-38.5422955,5
-3.75486740003,-38.5658816,3
-3.78065445003,-38.55921,10
-3.87402921575,-38.6181237288,-1
-3.81818221231,-38.5967588973,11
-3.79875435003,-38.4944164,12
-3.81781267288,-38.4964059614,-1
-3.74168382845,-38.5934583882,13
-3.79363315003,-38.5341616,-1
-3.75624130003,-38.56525,3
-3.74178630003,-38.5938049,13
-3.82806610003,-38.5612578,4
-3.80028419221,-38.4941728087,12
-3.80028419221,-38.4941728087,12
-3.76348970412,-38.5808348192,0
-3.78882630003,-38.4652166,-1
-3.79937935003,-38.4949879,12
-3.87400078198,-38.6181819187,-1
-3.75579915003,-38.588475,0
-3.72869978855,-38.5972511708,14
-3.80128830003,-38.5534136,-1
-3.00861630002,-38.0554933,-1
-3.78554333336,-38.4989166667,1
-3.75487520003,-38.5658866,3
-3.78999100003,-38.4735128,9
-3.74377520003,-38.5577211,-1
-3.83831640003,-38.5597265,4
-3.78181630003,-38.5477554,15
-3.75617315003,-38.56525,3
-3.76006430003,-38.5422955,5
-3.77392005003,-38.5629057,10
-3.71579415003,-38.5770368,-1
-3.78553333336,-38.4989366667,1
-3.7306522531,-38.5443868111,16
-3.82550396182,-38.4667141574,17
-3.79465325003,-38.4672267,-1
-3.76609530003,-38.4966059,-1
-3.75531815003,-38.5775,0
-3.71201191347,-38.4708630568,-1
-3.80089130003,-38.4948116,12
-3.77820705003,-38.581808,0
-3.74922630003,-38.5752933,-1
-3.73638130003,-38.5722233,-1
-3.79006910003,-38.4735931,9
-3.79852725003,-38.4951685,12
-3.87400330003,-38.6181619,-1
-3.79063666669,-38.5029816667,1
-3.82385596246,-38.5829356584,-1
-3.80700715404,-38.5775146745,18
-3.70137040003,-38.5787064,-1
-3.77967200003,-38.5411886,15
-3.81072205349,-38.5394856745,19
-3.83763715003,-38.5473317,-1
-3.80788615003,-38.6044628,-1
-3.73065298464,-38.5443861686,16
-3.82634005003,-38.5204087,20
-3.75614630003,-38.5652683,3
-3.75590140003,-38.5884348,0
-3.78522276013,-38.4961133858,1
-3.79001105003,-38.4734858,9
-3.80085025003,-38.5445931,-1
-3.75498956841,-38.5659338459,3
-3.77707804127,-38.5903347156,-1
-3.8070078483,-38.5775152989,18
-3.75615815003,-38.5652683,3
-3.78522723097,-38.4961410281,1
-3.72885022334,-38.5973551024,14
-3.78053074242,-38.559149239,10
-3.73635130003,-38.5721933,-1
-3.73065340083,-38.5443860134,16
-3.77555874845,-38.5731565533,0
-3.84058315003,-38.575275,-1
-3.75498120003,-38.5659485,3
-3.77405120003,-38.5802228,0
-3.79872976698,-38.4947190009,12
-3.81816887264,-38.5966755202,11
-3.75392683155,-38.5920754959,0
-3.75589515003,-38.5884017,0
-3.75392683155,-38.5920754959,0
-3.83581040003,-38.5749978,-1
-3.78181630003,-38.5477554,15
-3.78097920003,-38.4993021,1
-3.74312706461,-38.5165020378,-1
-3.79549405003,-38.4604562,-1
-3.74180410003,-38.4942821,7
-3.79874316021,-38.4945858708,12
-3.78055315003,-38.559195,10
-3.73065343901,-38.5443860894,16
-3.72871951974,-38.5972527041,14
-3.79874316021,-38.4945858708,12
-3.75774345003,-38.5604462,3
-3.75392683155,-38.5920754959,0
-3.82632503872,-38.5203626736,20
-3.76006430003,-38.5422955,5
-3.78097920003,-38.4993021,1
-3.74635705003,-38.5324474,25
-3.78523133312,-38.4961382211,1
-3.77876815003,-38.5492366,15
-3.75613211908,-38.5653241547,3
-3.83779065807,-38.4813768876,-1
-3.82542815003,-38.4665916,17
-3.78521230003,-38.4961323,1
-3.75755636201,-38.5816259803,0
-3.81792050003,-38.5395449,21
-3.73065424865,-38.5443856053,16
-3.8334232163,-38.569195753,22
-3.78997130003,-38.5669966,10
-3.80169894335,-38.4960741351,12
-3.83897135003,-38.5682757,-1
-3.83897135003,-38.5682757,-1
-3.75587879172,-38.5886494415,0
-3.75538630003,-38.5775516,0
-3.79878530003,-38.4945707,12
-3.74173825003,-38.4944599,7
-3.72864981182,-38.5972467234,14
-3.78556815003,-38.4989566,1
-3.76536100003,-38.5739631,0
-3.74137261885,-38.4968147613,7
-3.76341726584,-38.5809253488,0
-3.81792150003,-38.5395449,21
-3.75615630003,-38.5652666,3
-3.77154125003,-38.5705183,0
-3.71266615003,-38.5611208,-1
-3.80169992378,-38.4960475063,12
-3.73065200152,-38.5443845006,16
-3.78994405003,-38.4735159,9
-3.73633315003,-38.5722583,-1
-3.83340630003,-38.569175,22
-3.74997520003,-38.5290355,-1
-3.77881921389,-38.5492841227,15
-3.76199519888,-38.5797893335,0
-3.76006430003,-38.5422955,5
-3.76538215003,-38.5739593,0
-3.82816166669,-38.46629,17
-3.79857648888,-38.494309513,12
-3.74136256057,-38.496800554,7
-3.80157315003,-38.4962566,12
-3.79000436593,-38.473489927,9
-3.74999574999,-38.5290351599,-1
-3.76342272319,-38.5809248724,0
